id,title,category,tags,description,rating
1,Instagram Reel Video Editor,video editing,"[""instagram"", ""reels"", ""motion graphics"", ""youtube"", ""tiktok""]","Experienced video editor specializing in reels, tiktok, motion graphics. I deliver high-quality edits with smooth transitions, color grading, and engaging visuals tailored for social media audiences.",4.5
2,YouTube Video Editor & Colorist,video editing,"[""instagram"", ""transitions"", ""short-form"", ""reels"", ""color grading""]","Experienced video editor specializing in instagram, transitions, color grading. I deliver high-quality edits with smooth transitions, color grading, and engaging visuals tailored for social media audiences.",4.3
3,Short-Form Content Video Editor,video editing,"[""color grading"", ""instagram"", ""short-form"", ""transitions"", ""youtube""]","Experienced video editor specializing in color grading, instagram, short-form. I deliver high-quality edits with smooth transitions, color grading, and engaging visuals tailored for modern audiences.",4.0
4,TikTok Video Editor with Effects,video editing,"[""short-form"", ""color grading"", ""youtube""]","Experienced video editor specializing in short-form, youtube, color grading. I deliver high-quality edits with smooth transitions, color grading, and engaging visuals tailored for social media audiences.",4.0
5,Professional Video Editor for Social Media,video editing,"[""transitions"", ""color grading"", ""reels"", ""short-form""]","Experienced video editor specializing in transitions, color grading, short-form. I deliver high-quality edits with smooth transitions, color grading, and engaging visuals tailored for online audiences.",4.7
6,Professional Logo & Brand Designer,graphic design,"[""banner"", ""social media"", ""branding"", ""logo"", ""illustration""]","Creative designer with expertise in social media, branding, banner. I craft visually compelling designs that communicate your brand message effectively across all platforms.",4.8
7,Social Media Graphics Designer,graphic design,"[""social media"", ""flyer"", ""banner"", ""poster""]","Creative designer with expertise in flyer, poster, banner. I craft visually compelling designs that communicate your brand message effectively across all platforms.",4.5
8,Flyer & Poster Designer,graphic design,"[""branding"", ""social media"", ""banner"", ""ui design"", ""illustration""]","Creative designer with expertise in social media, ui design, illustration. I craft visually compelling designs that communicate your brand message effectively across all platforms.",5.0
9,Brand Identity Designer,graphic design,"[""flyer"", ""banner"", ""poster"", ""logo"", ""branding""]","Creative designer with expertise in flyer, poster, banner. I craft visually compelling designs that communicate your brand message effectively across all platforms.",3.6
10,UI/UX Graphic Designer,graphic design,"[""banner"", ""branding"", ""ui design"", ""flyer"", ""social media""]","Creative designer with expertise in flyer, branding, social media. I craft visually compelling designs that communicate your brand message effectively across all platforms.",3.9
11,Full Stack Web Developer (React + Node),web development,"[""javascript"", ""backend"", ""api"", ""css"", ""frontend""]","Skilled developer proficient in frontend, css, backend. I build fast, responsive, and scalable web applications with clean code and modern best practices.",5.0
12,Frontend Developer - React Specialist,web development,"[""javascript"", ""css"", ""react""]","Skilled developer proficient in javascript, react, css. I build fast, responsive, and scalable web applications with clean code and modern best practices.",4.7
13,Backend API Developer,web development,"[""nodejs"", ""html"", ""frontend"", ""backend""]","Skilled developer proficient in backend, frontend, html. I build fast, responsive, and scalable web applications with clean code and modern best practices.",4.5
14,WordPress Website Developer,web development,"[""javascript"", ""backend"", ""html""]","Skilled developer proficient in html, backend, javascript. I build fast, responsive, and scalable web applications with clean code and modern best practices.",4.2
15,E-commerce Web Developer,web development,"[""react"", ""backend"", ""css"", ""nodejs""]","Skilled developer proficient in react, css, backend. I build fast, responsive, and scalable web applications with clean code and modern best practices.",3.7
16,SEO Blog Writer & Content Strategist,content writing,"[""product description"", ""ghostwriting"", ""blog""]","Professional writer specializing in blog, ghostwriting, product description. I create engaging, SEO-optimized content that drives traffic and converts readers into customers.",3.7
17,Copywriter for Ads & Landing Pages,content writing,"[""ghostwriting"", ""copywriting"", ""seo"", ""blog""]","Professional writer specializing in copywriting, seo, ghostwriting. I create engaging, SEO-optimized content that drives traffic and converts readers into customers.",4.6
18,Technical Content Writer,content writing,"[""ghostwriting"", ""product description"", ""seo""]","Professional writer specializing in ghostwriting, product description, seo. I create engaging, SEO-optimized content that drives traffic and converts readers into customers.",4.3
19,Social Media Content Writer,content writing,"[""articles"", ""seo"", ""product description"", ""social media"", ""copywriting""]","Professional writer specializing in product description, social media, copywriting. I create engaging, SEO-optimized content that drives traffic and converts readers into customers.",4.2
20,Product Description Writer,content writing,"[""articles"", ""blog"", ""seo"", ""product description"", ""social media""]","Professional writer specializing in seo, articles, social media. I create engaging, SEO-optimized content that drives traffic and converts readers into customers.",4.4
21,Facebook & Instagram Ads Specialist,digital marketing,"[""seo"", ""influencer"", ""analytics""]","Results-driven marketer with hands-on experience in seo, analytics, influencer. I help businesses grow their online presence and maximize ROI through data-backed strategies.",3.6
22,SEO & Google Ads Expert,digital marketing,"[""facebook ads"", ""influencer"", ""google ads""]","Results-driven marketer with hands-on experience in facebook ads, google ads, influencer. I help businesses grow their online presence and maximize ROI through data-backed strategies.",4.7
23,Social Media Marketing Manager,digital marketing,"[""social media"", ""seo"", ""influencer"", ""google ads""]","Results-driven marketer with hands-on experience in influencer, seo, google ads. I help businesses grow their online presence and maximize ROI through data-backed strategies.",4.8
24,Email Marketing Specialist,digital marketing,"[""influencer"", ""analytics"", ""seo""]","Results-driven marketer with hands-on experience in influencer, analytics, seo. I help businesses grow their online presence and maximize ROI through data-backed strategies.",3.9
